,new_m2
0,1594.45
1,1597.5
2,1603.225
3,1616.2
4,1636.06
5,1659.55
6,1663.4
7,1669.4
8,1681.35
9,1695.24
10,1706.475
11,1720.45
12,1735.22
13,1752.375
14,1763.6
15,1773.55
16,1785.84
17,1804.65
18,1813.0
19,1825.025
20,1830.2
21,1845.5
22,1859.1
23,1868.025
24,1884.26
25,1902.85
26,1953.42
27,1995.75
28,2013.45
29,2025.2
30,2040.48
31,2052.2
32,2064.75
33,2071.8
34,2079.425
35,2095.62
36,2104.975
37,2118.575
38,2135.88
39,2145.875
40,2171.6
41,2193.18
42,2205.275
43,2217.475
44,2227.38
45,2231.7
46,2242.075
47,2257.8
48,2279.025
49,2303.26
50,2333.325
51,2347.875
52,2360.85
53,2372.1
54,2384.075
55,2405.975
56,2427.52
57,2438.45
58,2449.1
59,2464.275
60,2473.275
61,2489.68
62,2503.4
63,2511.675
64,2534.78
65,2560.1
66,2583.125
67,2608.18
68,2631.85
69,2648.775
70,2669.0
71,2687.6
72,2699.775
73,2724.18
74,2747.525
75,2741.95
76,2750.4
77,2765.325
78,2766.5
79,2771.96
80,2777.675
81,2783.2
82,2791.875
83,2810.4
84,2817.26
85,2824.825
86,2841.925
87,2868.74
88,2892.675
89,2911.65
90,2922.98
91,2941.65
92,2952.125
93,2959.66
94,2962.375
95,2968.52
96,2984.775
97,2989.775
98,2994.44
99,2988.3
100,3000.025
101,3004.925
102,3007.42
103,3023.425
104,3050.58
105,3071.625
106,3085.5
107,3111.8
108,3133.325
109,3150.425
110,3166.06
111,3180.675
112,3190.45
113,3201.96
114,3201.55
115,3212.45
116,3225.34
117,3241.65
118,3253.6
119,3260.76
120,3263.95
121,3271.06
122,3287.225
123,3303.675
124,3319.25
125,3332.72
126,3343.35
127,3349.325
128,3356.86
129,3355.325
130,3354.7
131,3360.175
132,3364.275
133,3371.98
134,3378.725
135,3398.4
136,3403.26
137,3399.35
138,3398.5
139,3393.76
140,3393.45
141,3397.46
142,3409.425
143,3421.1
144,3426.42
145,3424.6
146,3417.5
147,3412.975
148,3410.56
149,3408.05
150,3435.28
151,3442.075
152,3440.525
153,3444.54
154,3451.2
155,3453.725
156,3468.14
157,3474.725
158,3472.92
159,3474.525
160,3479.05
161,3478.375
162,3489.32
163,3478.05
164,3484.325
165,3484.96
166,3484.7
167,3481.66
168,3484.775
169,3485.175
170,3487.72
171,3486.875
172,3488.625
173,3491.475
174,3517.64
175,3544.6
176,3562.36
177,3584.9
178,3597.3
179,3608.4
180,3616.15
181,3623.875
182,3642.42
183,3655.75
184,3681.725
185,3693.58
186,3704.75
187,3715.725
188,3731.38
189,3740.375
190,3747.22
191,3762.375
192,3780.725
193,3803.5
194,3819.425
195,3830.35
196,3845.38
197,3862.525
198,3871.925
199,3889.7
200,3907.375
201,3937.275
202,3958.0
203,3975.825
204,3995.55
205,4015.82
206,4039.475
207,4066.9
208,4097.26
209,4123.875
210,4143.8
211,4167.1
212,4187.425
213,4210.68
214,4249.725
215,4285.35
216,4327.04
217,4356.475
218,4381.475
219,4405.95
220,4413.58
221,4442.075
222,4464.98
223,4488.15
224,4512.9
225,4531.56
226,4547.375
227,4567.55
228,4590.54
229,4615.875
230,4649.82
231,4660.15
232,4686.975
233,4743.925
234,4735.06
235,4751.575
236,4768.52
237,4796.15
238,4830.6
239,4849.42
240,4858.325
241,4895.65
242,4950.76
243,4989.075
244,5043.425
245,5109.12
246,5107.5
247,5147.9
248,5177.82
249,5211.875
250,5315.1
251,5310.94
252,5351.575
253,5404.72
254,5426.575
255,5455.525
256,5469.3
257,5470.38
258,5495.5
259,5512.45
260,5556.0
261,5602.675
262,5627.08
263,5669.7
264,5718.7
265,5743.18
266,5774.875
267,5809.3
268,5831.14
269,5866.075
270,5930.625
271,5963.88
272,6009.8
273,6072.55
274,6049.18
275,6036.225
276,6036.975
277,6038.34
278,6041.8
279,6078.025
280,6115.5
281,6152.675
282,6234.32
283,6239.325
284,6250.0
285,6275.28
286,6311.175
287,6335.875
288,6366.42
289,6389.325
290,6391.22
291,6401.925
292,6409.45
293,6422.9
294,6439.46
295,6471.45
296,6497.175
297,6533.3
298,6566.5
299,6601.94
300,6623.125
301,6647.85
302,6688.92
303,6716.425
304,6729.8
305,6763.25
306,6773.76
307,6807.175
308,6848.64
309,6879.025
310,6903.275
311,6951.5
312,6994.65
313,7034.175
314,7075.38
315,7093.45
316,7114.9
317,7194.42
318,7210.475
319,7238.475
320,7270.32
321,7343.325
322,7364.475
323,7377.04
324,7409.175
325,7442.44
326,7469.7
327,7553.575
328,7618.28
329,7668.675
330,7674.725
331,7693.06
332,7737.3
333,7754.1
334,7806.72
335,7927.3
336,7966.0
337,8144.14
338,8242.625
339,8268.45
340,8329.22
341,8335.4
342,8393.25
343,8403.5
344,8407.35
345,8407.56
346,8404.625
347,8429.725
348,8470.02
349,8475.65
350,8426.5
351,8472.375
352,8470.48
353,8496.55
354,8552.3
355,8574.4
356,8575.075
357,8628.86
358,8659.075
359,8708.925
360,8737.9
361,8774.825
362,8806.28
363,8852.15
364,8892.875
365,8946.9
366,9006.72
367,9078.25
368,9241.225
369,9482.46
370,9514.475
371,9550.82
372,9595.975
373,9623.05
374,9711.54
375,9747.05
376,9791.15
377,9848.56
378,9880.575
379,9941.25
380,10020.44
381,10093.15
382,10166.925
383,10237.66
384,10299.5
385,10419.18
386,10455.325
387,10434.9
388,10501.075
389,10557.64
390,10586.275
391,10633.8
392,10700.02
393,10760.25
394,10817.26
395,10929.3
396,10931.725
397,10990.24
398,11038.725
399,11102.175
400,11157.4
401,11218.825
402,11281.75
403,11343.74
404,11408.525
405,11443.4
406,11481.94
407,11538.7
408,11563.85
409,11640.22
410,11689.575
411,11793.475
412,11837.9
413,11889.725
414,11918.925
415,11970.28
416,12034.6
417,12093.86
418,12158.05
419,12166.9
420,12263.66
421,12312.2
422,12409.4
423,12488.26
424,12569.8
425,12633.15
426,12729.32
427,12800.175
428,12859.15
429,12979.28
430,13051.85
431,13119.0
